"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 21:05:02 PKT 2024","Sat Aug 17 21:05:21 PKT 2024","19360","chromium","EndFlow.spec.js","","","","End to End flow testing of product IPHONE 13 PRO",""
"passed","Sat Aug 17 21:05:02 PKT 2024","Sat Aug 17 21:05:21 PKT 2024","19472","chromium","EndFlow.spec.js","","","","End to End flow testing of product ADIDAS ORIGINAL",""
"passed","Sat Aug 17 21:05:24 PKT 2024","Sat Aug 17 21:05:33 PKT 2024","8960","chromium","EndFlow.spec.js","","","","Using playwright fixture",""
